filename,width,height,class,xmin,ymin,xmax,ymax
frame113.jpg,1920,1080,mobil,50,787,446,1080
frame113.jpg,1920,1080,mobil,1005,586,1291,945
frame113.jpg,1920,1080,mobil,1174,442,1380,652
frame113.jpg,1920,1080,mobil,1097,365,1239,469
frame113.jpg,1920,1080,mobil,911,312,1020,434
frame113.jpg,1920,1080,mobil,888,241,964,328
frame113.jpg,1920,1080,mobil,788,234,871,314
frame113.jpg,1920,1080,mobil,969,214,1034,284
frame113.jpg,1920,1080,mobil,929,173,987,236
frame113.jpg,1920,1080,mobil,984,169,1021,214
frame113.jpg,1920,1080,motor,738,195,775,253
frame113.jpg,1920,1080,motor,874,227,907,282
frame113.jpg,1920,1080,motor,1143,257,1191,330
frame112.jpg,1920,1080,motor,746,196,773,255
frame112.jpg,1920,1080,motor,868,224,903,280
frame112.jpg,1920,1080,motor,1148,253,1187,328
frame112.jpg,1920,1080,mobil,73,788,484,1080
frame112.jpg,1920,1080,mobil,1006,575,1284,938
frame112.jpg,1920,1080,mobil,1174,441,1378,645
frame112.jpg,1920,1080,mobil,1092,355,1237,464
frame112.jpg,1920,1080,mobil,903,311,1028,439
frame112.jpg,1920,1080,mobil,891,236,965,327
frame112.jpg,1920,1080,mobil,784,239,868,312
frame112.jpg,1920,1080,mobil,973,214,1026,280
frame112.jpg,1920,1080,mobil,929,174,998,239
frame112.jpg,1920,1080,mobil,985,171,1026,215
frame111.jpg,1920,1080,mobil,97,768,466,1080
frame111.jpg,1920,1080,mobil,998,570,1276,909
frame111.jpg,1920,1080,mobil,1180,434,1368,643
frame111.jpg,1920,1080,mobil,1098,346,1244,483
frame111.jpg,1920,1080,mobil,903,307,1024,439
frame111.jpg,1920,1080,mobil,894,242,962,333
frame111.jpg,1920,1080,mobil,789,242,866,316
frame111.jpg,1920,1080,mobil,973,224,1035,280
frame111.jpg,1920,1080,mobil,929,171,985,238
frame111.jpg,1920,1080,mobil,983,165,1034,214
frame111.jpg,1920,1080,motor,1144,257,1185,320
frame111.jpg,1920,1080,motor,868,223,903,282
frame111.jpg,1920,1080,motor,747,201,774,252
frame110.jpg,1920,1080,motor,1147,250,1187,329
frame110.jpg,1920,1080,motor,752,193,775,251
frame110.jpg,1920,1080,motor,870,225,901,280
frame110.jpg,1920,1080,mobil,75,752,503,1080
frame110.jpg,1920,1080,mobil,991,571,1268,887
frame110.jpg,1920,1080,mobil,1170,446,1369,633
frame110.jpg,1920,1080,mobil,1089,353,1233,466
frame110.jpg,1920,1080,mobil,909,310,1012,434
frame110.jpg,1920,1080,mobil,888,234,966,321
frame110.jpg,1920,1080,mobil,784,234,865,310
frame110.jpg,1920,1080,mobil,968,212,1028,275
frame110.jpg,1920,1080,mobil,928,171,983,243
frame110.jpg,1920,1080,mobil,991,168,1026,214
frame11.jpg,1920,1080,motor,974,602,1069,784
frame11.jpg,1920,1080,motor,326,551,405,729
frame11.jpg,1920,1080,motor,1534,798,1682,1059
frame11.jpg,1920,1080,mobil,641,515,825,825
frame11.jpg,1920,1080,mobil,456,360,610,520
frame11.jpg,1920,1080,mobil,637,286,743,395
frame11.jpg,1920,1080,mobil,725,360,847,495
frame11.jpg,1920,1080,mobil,926,432,1075,591
frame11.jpg,1920,1080,mobil,1234,364,1376,521
frame11.jpg,1920,1080,mobil,1083,298,1182,423
frame11.jpg,1920,1080,mobil,921,269,1025,369
frame11.jpg,1920,1080,mobil,1016,228,1096,332
frame11.jpg,1920,1080,mobil,973,200,1039,274
frame11.jpg,1920,1080,mobil,876,207,943,269
frame11.jpg,1920,1080,mobil,787,205,848,255
frame109.jpg,1920,1080,mobil,116,746,504,1080
frame109.jpg,1920,1080,mobil,987,562,1260,887
frame109.jpg,1920,1080,mobil,1168,425,1357,632
frame109.jpg,1920,1080,mobil,1094,337,1224,474
frame109.jpg,1920,1080,mobil,906,311,1016,434
frame109.jpg,1920,1080,mobil,888,241,961,321
frame109.jpg,1920,1080,mobil,789,237,864,312
frame109.jpg,1920,1080,mobil,961,209,1038,271
frame109.jpg,1920,1080,mobil,930,175,982,238
frame109.jpg,1920,1080,mobil,987,170,1023,209
frame109.jpg,1920,1080,motor,1135,245,1180,319
frame108.jpg,1920,1080,motor,1141,246,1178,321
frame108.jpg,1920,1080,mobil,96,728,530,1080
frame108.jpg,1920,1080,mobil,983,542,1261,887
frame108.jpg,1920,1080,mobil,1160,420,1362,628
frame108.jpg,1920,1080,mobil,1085,343,1221,455
frame108.jpg,1920,1080,mobil,900,305,1015,429
frame108.jpg,1920,1080,mobil,887,234,970,325
frame108.jpg,1920,1080,mobil,780,237,878,315
frame108.jpg,1920,1080,mobil,964,210,1029,280
frame108.jpg,1920,1080,mobil,933,174,991,236
frame108.jpg,1920,1080,mobil,987,162,1019,218
frame107.jpg,1920,1080,mobil,135,709,541,1080
frame107.jpg,1920,1080,mobil,987,552,1246,856
frame107.jpg,1920,1080,mobil,1168,419,1346,619
frame107.jpg,1920,1080,mobil,1083,339,1226,453
frame107.jpg,1920,1080,mobil,906,295,1007,429
frame107.jpg,1920,1080,mobil,892,237,970,330
frame107.jpg,1920,1080,mobil,785,236,871,310
frame107.jpg,1920,1080,mobil,960,210,1034,279
frame107.jpg,1920,1080,mobil,932,174,984,238
frame107.jpg,1920,1080,mobil,985,166,1025,219
frame107.jpg,1920,1080,motor,1141,239,1171,312
frame106.jpg,1920,1080,motor,1139,248,1173,302
frame106.jpg,1920,1080,mobil,143,697,544,1080
frame106.jpg,1920,1080,mobil,987,542,1233,845
frame106.jpg,1920,1080,mobil,1164,432,1347,607
frame106.jpg,1920,1080,mobil,1084,336,1212,460
frame106.jpg,1920,1080,mobil,897,303,1018,412
frame106.jpg,1920,1080,mobil,882,234,966,310
frame106.jpg,1920,1080,mobil,787,237,871,310
frame106.jpg,1920,1080,mobil,965,207,1021,275
frame106.jpg,1920,1080,mobil,933,178,984,241
frame106.jpg,1920,1080,mobil,987,168,1023,211
frame105.jpg,1920,1080,mobil,166,700,525,1080
frame105.jpg,1920,1080,mobil,983,543,1220,833
frame105.jpg,1920,1080,mobil,1161,416,1338,601
frame105.jpg,1920,1080,mobil,1084,338,1206,442
frame105.jpg,1920,1080,mobil,905,310,1014,418
frame105.jpg,1920,1080,mobil,889,229,966,318
frame105.jpg,1920,1080,mobil,791,234,870,310
frame105.jpg,1920,1080,mobil,965,219,1029,270
frame105.jpg,1920,1080,mobil,932,171,976,236
frame105.jpg,1920,1080,mobil,982,174,1026,214
frame105.jpg,1920,1080,motor,1132,246,1168,310
frame104.jpg,1920,1080,motor,1130,238,1164,307
frame104.jpg,1920,1080,mobil,173,665,537,1080
frame104.jpg,1920,1080,mobil,989,533,1220,823
frame104.jpg,1920,1080,mobil,1143,419,1344,603
frame104.jpg,1920,1080,mobil,1076,329,1203,438
frame104.jpg,1920,1080,mobil,905,297,1001,427
frame104.jpg,1920,1080,mobil,883,230,953,311
frame104.jpg,1920,1080,mobil,789,233,869,307
frame104.jpg,1920,1080,mobil,966,211,1015,273
frame104.jpg,1920,1080,mobil,928,166,980,236
frame104.jpg,1920,1080,mobil,983,166,1030,203
frame103.jpg,1920,1080,mobil,184,664,539,1068
frame103.jpg,1920,1080,mobil,980,538,1224,815
frame103.jpg,1920,1080,mobil,1146,414,1314,603
frame103.jpg,1920,1080,mobil,1075,323,1202,427
frame103.jpg,1920,1080,mobil,906,293,1011,402
frame103.jpg,1920,1080,mobil,879,227,962,310
frame103.jpg,1920,1080,mobil,784,229,870,314
